id	heuristic_role	explicit	quote	context
202	dragon		“I may not.”	“I may not.”
203	greg		“That seems like a problem for you.”	“That seems like a problem for you.”
204	dragon		“Yes.”	“Yes.”
205	greg		“And you're comfortable with that?”	“And you're comfortable with that?”
206	dragon		“No.”	“No.”
207	dragon		“If you say you worked somewhere for six years, and six years are truly indistinguishable to you, I gain nothing by forcing you to invent distinctions.”	“If you say you worked somewhere for six years, and six years are truly indistinguishable to you, I gain nothing by forcing you to invent distinctions.”
208	greg		“Good.”	“Good.”
209	dragon		“If you remember the first morning, a particular lunch, the person who sat across from you, the first time you were late, the day your wages changed, an argument in the third year, and the meal after your final shift, then you do not remember six years as one sentence.”	“If you remember the first morning, a particular lunch, the person who sat across from you, the first time you were late, the day your wages changed, an argument in the third year, and the meal after your final shift, then you do not remember six years as one sentence.”
210	greg		“You're going to be fucking annoying about this.”	“You're going to be fucking annoying about this.”
211	dragon		“Yes.”	“Yes.”
212	greg		“At least we're clear.”	“At least we're clear.”
213	dragon		“You have spent decades deciding which memories explain who you became.”	“You have spent decades deciding which memories explain who you became.”
214	greg		“I have no reason to trust your selection.”	“I have no reason to trust your selection.”
215	dragon		“I was there.”	“I was there.”
216	greg		“Yes.”	“Yes.”
217	dragon		“I know what mattered.”	“I know what mattered.”
218	greg		“You know what mattered to you when you last interpreted it.”	“You know what mattered to you when you last interpreted it.”
219	dragon		“That is usually the same thing.”	“That is usually the same thing.”
220	greg		“No.”	“No.”
221	dragon		“Obviously.”	“Obviously.”
222	greg		“The reason you remember a thing may not be the reason you believe you remember it.”	“The reason you remember a thing may not be the reason you believe you remember it.”
223	greg	greg	“How long do you think this takes?”	“How long do you think this takes?” I asked.
224	dragon		“I do not know.”	“I do not know.”
225	greg		“Weeks?”	“Weeks?”
226	dragon		“Possibly.”	“Possibly.”
227	greg		“Months?”	“Months?”
228	dragon		“Possibly.”	“Possibly.”
229	greg		“You don't care.”	“You don't care.”
230	dragon		“About the duration?”	“About the duration?”
231	greg		“Yes.”	“Yes.”
232	dragon		“No.”	“No.”
233	greg		“Of course.”	“Of course.”
234	dragon		“I have been in this mountain longer than your current kingdom has had a name.”	“I have been in this mountain longer than your current kingdom has had a name.”
235	greg		“You really know how to make a person feel urgent.”	“You really know how to make a person feel urgent.”
236	dragon		“You are urgent.”	“You are urgent.”
237	greg		“The Line?”	“The Line?”
238	dragon		“No.”	“No.”
239	greg		“You are sixty soon.”	“You are sixty soon.”
240	dragon		“Thank you.”	“Thank you.”
241	greg		“Your species measures a life in decades and then behaves surprised when there are not enough of them.”	“Your species measures a life in decades and then behaves surprised when there are not enough of them.”
242	dragon		“I am not surprised.”	“I am not surprised.”
243	greg		“No?”	“No?”
244	dragon		“No.”	“No.”
245	dragon	dragon	“Interesting,”	“Interesting,” he said.
246	greg		“Don't.”	“Don't.”
247	dragon		“You have been searching for me for years.”	“You have been searching for me for years.”
248	greg		“We covered that.”	“We covered that.”
249	dragon		“You are not surprised by the scarcity of a human lifetime.”	“You are not surprised by the scarcity of a human lifetime.”
250	greg		“That is called being fifty-nine.”	“That is called being fifty-nine.”
251	dragon		“You have already lived two.”	“You have already lived two.”
252	greg	greg	“I told you not to do that.”	“I told you not to do that.”
253	dragon		“And you arrived with enough food to reach me, not enough to return.”	“And you arrived with enough food to reach me, not enough to return.”
254	greg		“I can hunt.”	“I can hunt.”
255	dragon		“With your leg.”	“With your leg.”
256	greg		“Yes.”	“Yes.”
257	dragon		“Poorly.”	“Poorly.”
258	greg		“Your planning prioritizes arrival over departure.”	“Your planning prioritizes arrival over departure.”
259	dragon		“I came here to save the Line.”	“I came here to save the Line.”
260	greg		“Perhaps.”	“Perhaps.”
261	dragon		“What if I say no?”	“What if I say no?”
262	greg		“You leave.”	“You leave.”
263	dragon		“That's it?”	“That's it?”
264	greg		“Yes.”	“Yes.”
265	dragon		“No fire.”	“No fire.”
266	greg		“Not for refusing conversation.”	“Not for refusing conversation.”
267	dragon		“Again, excellent qualifier.”	“Again, excellent qualifier.”
268	greg		“You may die on the mountain.”	“You may die on the mountain.”
269	dragon		“I know.”	“I know.”
270	greg		“You may live.”	“You may live.”
271	dragon		“I know.”	“I know.”
272	greg		“The Line may fail.”	“The Line may fail.”
273	dragon		“I know.”	“I know.”
274	greg		“There is water behind the second stone shelf.”	“There is water behind the second stone shelf.”
275	dragon		“I hear it.”	“I hear it.”
276	greg		“There are animals below the eastern face.”	“There are animals below the eastern face.”
277	dragon		“The cliff?”	“The cliff?”
278	greg		“The other eastern face.”	“The other eastern face.”
279	dragon		“Helpful.”	“Helpful.”
280	greg		“I can show you.”	“I can show you.”
281	dragon		“You'd let me stay here?”	“You'd let me stay here?”
282	greg		“Yes.”	“Yes.”
283	dragon		“For months.”	“For months.”
284	greg		“If months are required.”	“If months are required.”
285	dragon		“You understand I have to sleep.”	“You understand I have to sleep.”
286	greg		“Yes.”	“Yes.”
287	dragon		“Eat.”	“Eat.”
288	greg		“Yes.”	“Yes.”
289	dragon		“Shit.”	“Shit.”
290	greg		“Yes.”	“Yes.”
291	dragon		“Good. Just establishing the hospitality package.”	“Good. Just establishing the hospitality package.”
292	greg		“You are welcome to shit outside.”	“You are welcome to shit outside.”
293	dragon	dragon	“Where does the discrepancy begin?”	“Where does the discrepancy begin?” he asked.
294	greg		“Nineteen.”	“Nineteen.”
295	dragon		“Then begin there.”	“Then begin there.”
296	greg		“Fine.”	“Fine.”
